inicio,varinicio,varfim,PT_V,id,inteiro,real,lit,leia,escreva,literal,num,RCB,OPM,se,AB_P,FC_P,entao,OPR,fimse,fim,EOF,P',P,V,LV,D,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CABECALHO,EXP_R,CORPO
S2,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,1,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5
E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,ACC,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11
E6,S3,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,8,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6
E8,E8,S11,E8,S12,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,9,10,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8
E0,E0,E0,R7,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0
E9,E9,E9,E9,R5,E9,E9,E9,R5,R5,E9,E9,E9,E9,R5,E9,E9,E9,E9,E9,R5,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9
E8,E8,E8,S15,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8
E10,E10,E10,E1,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,R2,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10
E9,E9,E9,E9,S21,E9,E9,E9,S24,S25,E9,E9,E9,E9,S23,E9,E9,E9,E9,E9,S17,E9,E9,E9,E9,E9,E9,E9,7,18,E9,19,E9,E9,20,22,E9,E9
E9,E9,E9,E9,R3,E9,E9,E9,R3,R3,E9,E9,E9,E9,R3,E9,E9,E9,E9,E9,R3,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9
E9,E9,S11,E9,S12,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,57,10,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9
E0,E0,E0,S5,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0
E7,E7,E7,E7,E7,S4,S13,S14,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,6,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7
E0,E0,E0,R8,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0
